id,projectId,label,icon,sortOrder
17a88b11-98f2-4589-9544-551648e87802,37475cb7-21c0-4c64-ba62-5174ca162a47,Multi Tier Security,🔐,0
1801f0c9-335b-4404-a3d2-e5ce0f394dcf,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,High-Speed Elevators,🏙️,0
1845c6d1-6106-4989-b272-46390b9e2b2c,b78f7b94-2629-4566-b8a8-a14b578d3434,Smart Home Features,🤖,0
188df347-39ed-49d7-9455-6ccf4b3de114,e59debce-1f67-4a5f-ab7e-613fe1441982,Vertical Gardens & Sky Decks,🌱,0
18c7c9a2-91ef-41bd-954d-89e32c72aab0,bccdee7e-3f5d-4e88-a0c9-070942334caa,3-Tier Security,🛡️,0
190e387d-f686-4da6-a641-549adfb5bf7a,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,Podium Level Clubhouse,🏢,0
19cd81b5-c879-4cf2-a1e4-1feecbfe9d3c,d2afb735-8465-414a-924f-a7226ea3319a,World-Class Architecture,🏗️,0
1a2d702f-8cb8-45de-871c-de2eb5228d8f,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,IGBC Platinum Certified,🌱,0
1ad1b56a-3b91-47eb-9ce3-3744b92449aa,d2afb735-8465-414a-924f-a7226ea3319a,Expansive Balconies,🌄,0
1c3c606d-a007-4cf7-b226-0cddc00a7971,7a117c0f-16eb-4536-a0a6-028271a06f3b,3 Side Open Layouts,🌄,0
1ce37360-7447-476f-be6a-79a83687a782,728db93d-8501-488a-a01b-8917095530a1,"EV Charging, Multi-Level Parking",⚡,0
203876f9-0c9d-4339-bbca-87336daf4d8d,c9b9ee68-248e-48fb-ae77-1b082109a89c,4 Levels of Basement Parking,🚗,0
20922456-6b17-4cdc-bc15-89fb15dd800e,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,Professional Gymnasium,🏋️,0
20c790f5-79ea-42f2-9b64-3a0dd9469312,0ef5cdef-6f02-4591-a386-553534d6cce0,4 BHK independent floors,🛏️,0
