id,projectId,configurationId,unitNumber,type,floor,areaSqFt,frontageFt,ceilingHeightFt,fitOutStatus,nearAnchor,isCorner,visibilityScore,ventilationReady,priceTotal,ratePsf,leaseModel,lockInMonths,escalationPct,availability,notes
238cd3b5-67d3-4173-bc20-8f5b78d2f9ff,8eab2ac6-fbc3-450e-b4a9-16ae669df765,,3,APARTMENT,4 Bed Residences,4909 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
24468090-e6a7-43fd-87ca-18dc65431d3f,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,,2,APARTMENT,4 BHK,1905 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
261d25c1-6fc1-4cf2-b921-5171fd795faf,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-13,APARTMENT,3.5 BHK+Utility,2503 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
2715759c-7525-41a0-84e9-89a76773dafd,049251cb-0089-4e71-8624-88c23074f082,,1,APARTMENT,3BHK + SQ,2836 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
287ea400-7cbf-4bdb-9be2-f9e6405490c5,b78f7b94-2629-4566-b8a8-a14b578d3434,,3,APARTMENT,4BHK,2800 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
28fe8bd1-2a49-4e05-9b78-0e15a6a6c946,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 163,ANCHOR,FF,2078.65,,,,false,false,,,,,,,,AVAILABLE,
2a7caaa2-d4ae-4897-90a5-6e3a82d9136e,8eab2ac6-fbc3-450e-b4a9-16ae669df765,,2,APARTMENT,4 Bed Residences,3929 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
2b3af65b-ed54-4566-8431-0c978bd87d96,8e7d9d67-660b-4099-b583-f39f14bf9a26,,2,APARTMENT,4 BHK,3780 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
2b5068a9-8f6b-46b3-949e-5a5f93fe2f6b,bfdbaac8-419e-473e-ae73-6edd80f14387,,1,APARTMENT,3BHK,1980 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
2b7f7979-a4cf-4070-b2d8-f5ce25eea725,37475cb7-21c0-4c64-ba62-5174ca162a47,,2,APARTMENT,4 BHK + SQ,2750 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
2e47f3de-8b26-4add-bacc-4189f39a1769,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 164,ANCHOR,FF,598,,,,false,false,,,,,,,,AVAILABLE,
2ebbcb42-623c-4d6c-b554-37ec75c6ef59,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,,3,APARTMENT,4 BHK,3075 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
2ed884d0-4de0-49e3-85ba-d61ba7a1c0e1,165ef67e-ef7b-4dde-9a9b-817a92875500,,1,RETAIL,Lower Ground,500 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
2edebf01-6361-430c-9898-509058ef0832,0ef5cdef-6f02-4591-a386-553534d6cce0,,4BHK-LG,APARTMENT,4 BHK,1702-2008 sq.ft,,,,false,false,,,,,,,,AVAILABLE,
2ee1d190-54fd-4f6b-ad4f-c8a899751e2a,ae24318b-3030-428a-94f6-c9c93e7789f6,,6,APARTMENT,GF,6494 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
3032dad5-da1d-4e85-a9e3-6e57c0885ca9,21f65c22-0ac4-4e2e-92df-029afe926330,,4,APARTMENT,4BHK,3039 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
